,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESPONSIBILITY,,,,,,,,,,,,,CAPABILITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,,,,,MULTICRITERIA
,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,Cumulative Gt CO2
HND,,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.16,,,HND,,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.17,,,HND,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,HND,0.06
HUN,,0.00,0.03,0.06,0.10,0.16,0.20,0.23,0.23,1.02,,,HUN,,0.00,0.03,0.07,0.12,0.20,0.28,0.33,0.35,1.38,,,HUN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,HUN,0.29
ISL,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.09,,,ISL,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.04,0.14,,,ISL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,ISL,0.03
IND,,0.05,0.48,1.15,2.02,3.34,4.53,5.24,5.51,22.31,,,IND,,0.04,0.38,0.89,1.54,2.55,3.49,4.13,4.49,17.52,,,IND,,0.64,6.76,16.34,29.35,49.55,68.11,79.19,83.12,333.05,,,IND,261.70
IDN,,0.01,0.12,0.29,0.50,0.83,1.13,1.31,1.40,5.58,,,IDN,,0.02,0.18,0.41,0.71,1.17,1.60,1.89,2.05,8.02,,,IDN,,0.02,0.26,0.62,1.11,1.86,2.56,3.03,3.25,12.71,,,IDN,11.46
IRN,,0.02,0.15,0.36,0.62,1.01,1.31,1.46,1.48,6.41,,,IRN,,0.01,0.11,0.25,0.44,0.72,0.99,1.17,1.27,4.97,,,IRN,,0.00,0.02,0.05,0.09,0.15,0.19,0.21,0.20,0.93,,,IRN,1.96
IRQ,,0.01,0.10,0.28,0.58,1.13,1.79,2.40,2.91,9.20,,,IRQ,,0.00,0.03,0.07,0.13,0.21,0.29,0.35,0.38,1.47,,,IRQ,,0.00,0.01,0.03,0.06,0.15,0.27,0.43,0.60,1.54,,,IRQ,2.09
IRL,,0.00,0.02,0.04,0.07,0.13,0.17,0.21,0.23,0.87,,,IRL,,0.01,0.05,0.12,0.21,0.34,0.47,0.55,0.60,2.35,,,IRL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,IRL,0.43
ISR,,0.00,0.03,0.07,0.14,0.24,0.36,0.45,0.51,1.79,,,ISR,,0.01,0.05,0.13,0.22,0.36,0.49,0.59,0.64,2.48,,,ISR,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,ISR,0.53
ITA,,0.02,0.17,0.38,0.62,0.97,1.26,1.44,1.52,6.38,,,ITA,,0.05,0.49,1.15,1.99,3.28,4.50,5.32,5.78,22.56,,,ITA,,0.00,0.01,0.02,0.03,0.05,0.06,0.07,0.08,0.33,,,ITA,4.19
JAM,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.03,0.13,,,JAM,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.04,0.14,,,JAM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,JAM,0.03
JPN,,0.05,0.46,1.01,1.60,2.46,3.15,3.48,3.59,15.80,,,JPN,,0.13,1.32,3.08,5.33,8.81,12.07,14.27,15.50,60.52,,,JPN,,0.01,0.04,0.09,0.14,0.20,0.24,0.26,0.26,1.23,,,JPN,11.40
JOR,,0.00,0.01,0.03,0.05,0.09,0.13,0.16,0.17,0.63,,,JOR,,0.00,0.01,0.01,0.02,0.04,0.06,0.07,0.07,0.28,,,JOR,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,JOR,0.11
KAZ,,0.01,0.13,0.32,0.57,0.97,1.36,1.64,1.81,6.83,,,KAZ,,0.00,0.03,0.08,0.14,0.23,0.31,0.37,0.40,1.57,,,KAZ,,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.07,,,KAZ,0.80
KEN,,0.00,0.01,0.02,0.05,0.09,0.13,0.17,0.19,0.65,,,KEN,,0.00,0.01,0.02,0.04,0.06,0.08,0.10,0.11,0.42,,,KEN,,0.00,0.01,0.04,0.09,0.19,0.32,0.46,0.58,1.70,,,KEN,1.43
KWT,,0.01,0.10,0.24,0.44,0.75,1.04,1.24,1.37,5.19,,,KWT,,0.00,0.03,0.06,0.11,0.18,0.24,0.29,0.31,1.23,,,KWT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,KWT,0.57
KGZ,,0.00,0.02,0.04,0.07,0.11,0.16,0.19,0.21,0.79,,,KGZ,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.05,,,KGZ,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,KGZ,0.07
LAO,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,LAO,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.08,,,LAO,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,LAO,0.02
LVA,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.12,,,LVA,,0.00,0.01,0.01,0.02,0.04,0.05,0.06,0.06,0.25,,,LVA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,LVA,0.05
LBN,,0.00,0.01,0.02,0.03,0.04,0.06,0.06,0.06,0.27,,,LBN,,0.00,0.01,0.02,0.04,0.06,0.08,0.10,0.10,0.40,,,LBN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,LBN,0.08
LSO,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,LSO,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,LSO,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,LSO,0.01
LBR,,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.10,,,LBR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,LBR,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,LBR,0.03
LBY,,0.00,0.03,0.06,0.11,0.19,0.25,0.29,0.31,1.25,,,LBY,,0.00,0.02,0.04,0.07,0.12,0.16,0.19,0.20,0.79,,,LBY,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,LBY,0.22
LTU,,0.00,0.01,0.02,0.03,0.04,0.05,0.06,0.06,0.25,,,LTU,,0.00,0.01,0.02,0.03,0.06,0.08,0.09,0.10,0.39,,,LTU,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,LTU,0.08
LUX,,0.00,0.01,0.02,0.04,0.08,0.11,0.13,0.15,0.55,,,LUX,,0.00,0.01,0.03,0.05,0.08,0.11,0.13,0.14,0.56,,,LUX,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,LUX,0.13
MDG,,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.05,0.15,,,MDG,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.09,,,MDG,,0.00,0.00,0.01,0.03,0.06,0.12,0.18,0.24,0.64,,,MDG,0.52
MWI,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.08,,,MWI,,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.07,,,MWI,,0.00,0.00,0.01,0.02,0.04,0.07,0.11,0.15,0.40,,,MWI,0.32
MYS,,0.01,0.06,0.13,0.24,0.40,0.56,0.65,0.70,2.74,,,MYS,,0.01,0.06,0.14,0.24,0.39,0.54,0.64,0.69,2.71,,,MYS,,0.00,0.00,0.01,0.02,0.03,0.05,0.06,0.06,0.23,,,MYS,0.79
MDV,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,MDV,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,MDV,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,MDV,0.00
MLI,,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.07,,,MLI,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.11,,,MLI,,0.00,0.00,0.01,0.02,0.04,0.08,0.13,0.18,0.46,,,MLI,0.38
MLT,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,MLT,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.09,,,MLT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,MLT,0.02
MRT,,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.12,,,MRT,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.05,,,MRT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,,,MRT,0.03
MUS,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,MUS,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.11,,,MUS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,MUS,0.02
MEX,,0.02,0.24,0.57,1.01,1.68,2.29,2.66,2.80,11.28,,,MEX,,0.02,0.24,0.57,0.98,1.62,2.23,2.63,2.86,11.16,,,MEX,,0.01,0.06,0.16,0.29,0.49,0.68,0.79,0.84,3.31,,,MEX,5.10
FSM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,FSM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,FSM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,FSM,0.00
MNG,,0.00,0.00,0.01,0.02,0.03,0.04,0.05,0.05,0.20,,,MNG,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.08,,,MNG,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,MNG,0.03
MAR,,0.00,0.02,0.04,0.07,0.12,0.16,0.19,0.20,0.81,,,MAR,,0.00,0.02,0.05,0.09,0.14,0.20,0.23,0.25,0.99,,,MAR,,0.00,0.00,0.01,0.02,0.04,0.05,0.06,0.07,0.26,,,MAR,0.41
MOZ,,0.00,0.00,0.01,0.02,0.04,0.06,0.08,0.10,0.31,,,MOZ,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.11,,,MOZ,,0.00,0.01,0.02,0.04,0.10,0.20,0.32,0.45,1.13,,,MOZ,0.91
MMR,,0.00,0.01,0.01,0.02,0.04,0.05,0.06,0.06,0.24,,,MMR,,0.00,0.01,0.02,0.04,0.06,0.09,0.10,0.11,0.44,,,MMR,,0.00,0.01,0.02,0.04,0.07,0.09,0.11,0.11,0.45,,,MMR,0.43
NAM,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.05,,,NAM,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.12,,,NAM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,NAM,0.02
NPL,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.05,,,NPL,,0.00,0.00,0.01,0.02,0.03,0.03,0.04,0.04,0.17,,,NPL,,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.15,,,NPL,0.15
NLD,,0.01,0.12,0.26,0.44,0.71,0.95,1.10,1.18,4.78,,,NLD,,0.02,0.19,0.45,0.78,1.29,1.77,2.09,2.27,8.88,,,NLD,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,,,NLD,1.74
NZL,,0.00,0.02,0.04,0.08,0.13,0.18,0.21,0.23,0.90,,,NZL,,0.00,0.03,0.08,0.14,0.23,0.31,0.37,0.40,1.56,,,NZL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,NZL,0.31
NIC,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.09,,,NIC,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.09,,,NIC,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,NIC,0.03
NER,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.05,,,NER,,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.06,,,NER,,0.00,0.00,0.01,0.04,0.12,0.27,0.49,0.78,1.72,,,NER,1.34
NGA,,0.01,0.07,0.18,0.38,0.75,1.19,1.60,1.94,6.11,,,NGA,,0.01,0.09,0.20,0.35,0.57,0.78,0.92,1.00,3.92,,,NGA,,0.01,0.20,0.62,1.60,3.77,7.09,11.21,15.65,40.16,,,NGA,32.08
NOR,,0.00,0.04,0.10,0.18,0.32,0.45,0.54,0.61,2.25,,,NOR,,0.01,0.10,0.23,0.40,0.66,0.91,1.07,1.17,4.55,,,NOR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,NOR,0.87
OMN,,0.00,0.02,0.04,0.07,0.12,0.16,0.19,0.20,0.81,,,OMN,,0.00,0.01,0.03,0.05,0.09,0.12,0.15,0.16,0.62,,,OMN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,OMN,0.16
PAK,,0.00,0.05,0.14,0.26,0.45,0.65,0.79,0.86,3.21,,,PAK,,0.00,0.04,0.09,0.16,0.27,0.37,0.44,0.47,1.85,,,PAK,,0.01,0.17,0.46,0.96,1.82,2.77,3.54,4.04,13.78,,,PAK,11.17
PAN,,0.00,0.00,0.01,0.01,0.03,0.04,0.04,0.05,0.18,,,PAN,,0.00,0.01,0.02,0.03,0.04,0.06,0.07,0.08,0.31,,,PAN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,PAN,0.06
PNG,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.04,0.14,,,PNG,,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.03,0.10,,,PNG,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,PNG,0.05
PRY,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.08,,,PRY,,0.00,0.00,0.01,0.02,0.03,0.04,0.05,0.05,0.21,,,PRY,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,PRY,0.05
PER,,0.00,0.03,0.07,0.12,0.20,0.28,0.33,0.35,1.37,,,PER,,0.00,0.03,0.08,0.14,0.23,0.31,0.37,0.40,1.57,,,PER,,0.00,0.00,0.01,0.02,0.03,0.05,0.05,0.06,0.22,,,PER,0.51
PHL,,0.00,0.04,0.10,0.19,0.33,0.47,0.57,0.63,2.36,,,PHL,,0.00,0.05,0.11,0.19,0.31,0.42,0.50,0.54,2.12,,,PHL,,0.00,0.05,0.12,0.24,0.44,0.66,0.84,0.96,3.30,,,PHL,3.05
POL,,0.02,0.19,0.42,0.67,1.01,1.26,1.35,1.34,6.27,,,POL,,0.01,0.11,0.26,0.45,0.74,1.01,1.20,1.30,5.09,,,POL,,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.10,,,POL,1.32
PRT,,0.00,0.02,0.04,0.06,0.10,0.12,0.13,0.14,0.61,,,PRT,,0.01,0.06,0.13,0.22,0.37,0.50,0.60,0.65,2.53,,,PRT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,PRT,0.44
KOR,,0.01,0.13,0.29,0.48,0.74,0.95,1.05,1.08,4.75,,,KOR,,0.03,0.25,0.59,1.02,1.69,2.32,2.74,2.98,11.62,,,KOR,,0.00,0.01,0.02,0.03,0.04,0.05,0.06,0.06,0.26,,,KOR,2.34
MDA,,0.00,0.01,0.02,0.03,0.04,0.05,0.05,0.05,0.25,,,MDA,,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.06,,,MDA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,MDA,0.03
ROU,,0.01,0.05,0.10,0.16,0.25,0.31,0.34,0.35,1.57,,,ROU,,0.00,0.04,0.09,0.16,0.26,0.36,0.42,0.46,1.78,,,ROU,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,ROU,0.41
RUS,,0.08,0.77,1.72,2.80,4.46,5.90,6.80,7.30,29.83,,,RUS,,0.04,0.35,0.82,1.43,2.36,3.23,3.82,4.15,16.19,,,RUS,,0.01,0.06,0.13,0.20,0.30,0.40,0.46,0.50,2.06,,,RUS,6.28
RWA,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,RWA,,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.06,,,RWA,,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.08,,,RWA,0.07
KNA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,KNA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,KNA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,KNA,0.00
LCA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,LCA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,LCA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,LCA,0.00
VCT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,VCT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,VCT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,VCT,0.00
WSM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,WSM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,WSM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,WSM,0.00
STP,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,STP,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,STP,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,STP,0.00
SAU,,0.02,0.21,0.50,0.90,1.51,2.06,2.41,2.57,10.17,,,SAU,,0.01,0.12,0.28,0.49,0.81,1.12,1.32,1.43,5.59,,,SAU,,0.00,0.00,0.01,0.02,0.04,0.05,0.06,0.07,0.26,,,SAU,1.81
SEN,,0.00,0.00,0.01,0.02,0.04,0.06,0.08,0.10,0.32,,,SEN,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.04,0.14,,,SEN,,0.00,0.00,0.00,0.01,0.03,0.05,0.07,0.10,0.27,,,SEN,0.25
SRB,,0.00,0.02,0.04,0.07,0.10,0.13,0.14,0.15,0.66,,,SRB,,0.00,0.01,0.02,0.04,0.06,0.08,0.10,0.11,0.42,,,SRB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,SRB,0.12
SYC,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,SYC,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,SYC,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,SYC,0.00
SLE,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,,,SLE,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,SLE,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,SLE,0.03
SGP,,0.00,0.02,0.05,0.09,0.15,0.19,0.22,0.23,0.95,,,SGP,,0.01,0.05,0.13,0.22,0.37,0.50,0.59,0.64,2.51,,,SGP,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,SGP,0.46
SVK,,0.00,0.03,0.06,0.09,0.14,0.18,0.20,0.21,0.92,,,SVK,,0.00,0.02,0.05,0.08,0.14,0.19,0.22,0.24,0.95,,,SVK,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,SVK,0.22
SVN,,0.00,0.01,0.01,0.02,0.03,0.04,0.05,0.05,0.21,,,SVN,,0.00,0.01,0.03,0.04,0.07,0.10,0.12,0.13,0.51,,,SVN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,SVN,0.09
SLB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,SLB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,SLB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,SLB,0.00
ZAF,,0.03,0.27,0.66,1.17,1.99,2.76,3.29,3.56,13.73,,,ZAF,,0.01,0.09,0.20,0.35,0.58,0.79,0.94,1.02,3.99,,,ZAF,,0.00,0.01,0.03,0.06,0.10,0.14,0.17,0.19,0.71,,,ZAF,2.17
ESP,,0.01,0.11,0.25,0.41,0.64,0.82,0.92,0.96,4.13,,,ESP,,0.03,0.33,0.77,1.34,2.21,3.03,3.58,3.89,15.20,,,ESP,,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.05,0.21,,,ESP,2.80
LKA,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.03,0.14,,,LKA,,0.00,0.01,0.03,0.05,0.09,0.12,0.14,0.15,0.60,,,LKA,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,,,LKA,0.14
SDN,,0.00,0.01,0.02,0.03,0.06,0.10,0.13,0.16,0.51,,,SDN,,0.00,0.02,0.04,0.06,0.10,0.14,0.16,0.18,0.70,,,SDN,,0.00,0.01,0.03,0.06,0.14,0.25,0.37,0.50,1.36,,,SDN,1.19
SUR,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,,,SUR,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.05,,,SUR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,SUR,0.01
SWE,,0.01,0.06,0.14,0.25,0.43,0.60,0.72,0.80,3.02,,,SWE,,0.01,0.11,0.26,0.46,0.75,1.03,1.22,1.33,5.19,,,SWE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,,,SWE,1.03
CHE,,0.00,0.03,0.08,0.13,0.22,0.30,0.36,0.39,1.50,,,CHE,,0.01,0.13,0.31,0.54,0.90,1.23,1.46,1.58,6.17,,,CHE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,CHE,1.07
SYR,,0.00,0.02,0.05,0.10,0.18,0.25,0.31,0.34,1.26,,,SYR,,0.00,0.01,0.03,0.06,0.09,0.13,0.15,0.16,0.64,,,SYR,,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.05,0.17,,,SYR,0.32
TJK,,0.00,0.02,0.04,0.07,0.13,0.19,0.24,0.27,0.97,,,TJK,,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.06,,,TJK,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,TJK,0.11
THA,,0.01,0.05,0.11,0.18,0.28,0.35,0.39,0.39,1.76,,,THA,,0.01,0.08,0.18,0.32,0.53,0.72,0.85,0.93,3.62,,,THA,,0.00,0.01,0.03,0.05,0.07,0.09,0.09,0.09,0.43,,,THA,1.02
