,RESPONSIBILITY,,,,,,,,,,,,,CAPACITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,
BRA,0,2.78,27.79,64.84,112.08,185.26,253.8,300.11,326.05,1.27,,,BRA,0,7.95,79.37,185.52,322.84,539.72,752.51,913.97,1027.01,3.83,,,BRA,0.00,41.83,403.85,912.27,1496.14,2340.69,3021.74,3341.13,3385.28,14.94
BRN,0,12.48,124.77,291.14,503.25,831.82,1139.59,1347.55,1464,5.71,,,BRN,0,23.73,227.83,519.32,876.83,1434.41,1966.27,2345.91,2580.01,9.97,,,BRN,0.00,0.09,0.87,2.02,3.42,5.46,7.17,8.07,8.36,0.04
BGR,0,12.45,124.5,290.49,502.14,829.98,1137.07,1344.56,1460.76,5.7,,,BGR,0,5.61,62.99,160.1,307.91,554.28,818.35,1030.9,1170.52,4.11,,,BGR,0.00,1.36,11.68,24.33,36.05,52.35,63.79,67.92,68.05,0.33
BFA,0,0.13,1.28,2.98,5.15,8.52,11.67,13.8,14.99,0.06,,,BFA,0,0.33,2.72,5.46,7.64,10.53,12.26,12.5,11.96,0.06,,,BFA,0.00,4.09,48.05,127.01,258.68,490.61,757.30,996.28,1183.62,3.87
BDI,0,0.08,0.78,1.83,3.16,5.22,7.15,8.46,9.19,0.04,,,BDI,0,0.13,1.07,2.13,2.92,3.94,4.5,4.49,4.2,0.02,,,BDI,0.00,2.33,27.70,73.78,153.14,296.33,466.43,627.33,762.72,2.41
CPV,0,0.65,6.45,15.05,26.02,43.01,58.93,69.68,75.7,0.3,,,CPV,0,2.26,21.36,47.86,78.59,125.07,167.05,195.48,213.18,0.85,,,CPV,0.00,0.11,1.13,2.66,4.63,7.61,10.25,11.76,12.28,0.05
KHM,0,0.17,1.71,3.98,6.88,11.38,15.59,18.44,20.03,0.08,,,KHM,0,0.52,4.88,10.89,17.76,28.06,37.18,43,46.23,0.19,,,KHM,0.00,3.27,33.45,79.11,138.43,229.07,311.13,361.19,382.54,1.54
CMR,0,0.42,4.22,9.85,17.02,28.14,38.55,45.58,49.52,0.19,,,CMR,0,0.7,5.92,12.11,17.32,24.19,28.45,29.2,28.04,0.15,,,CMR,0.00,5.08,58.03,150.41,299.97,561.20,858.02,1121.63,1328.48,4.38
CAN,0,38.81,388.06,905.48,1565.19,2587.1,3544.32,4191.1,4553.29,17.77,,,CAN,0,33.01,322.64,738.45,1238.2,1978.22,2605.21,2952.18,3082.92,12.95,,,CAN,0.00,7.35,72.57,167.39,284.89,466.36,637.34,755.18,823.26,3.21
CAF,0,0.19,1.91,4.46,7.7,12.73,17.44,20.63,22.41,0.09,,,CAF,0,0.31,2.68,5.54,8.11,11.61,13.99,14.77,14.64,0.07,,,CAF,0.00,0.96,10.79,27.61,53.75,98.14,146.46,186.13,213.63,0.74
